,Направление,Ср.балл платно,Ср.балл бюджет
0,Инженерная геология и геокриология нефтегазоносных регионов,45,62
1,Автомобильные дороги,43,51
2,Объекты транспортной инфраструктуры,43,51
3,Интеллектуальные системы и технологии «Умный город»,47,77
4,Биотехнические и медицинские аппараты и системы,58,49
5,Моделирование механических систем и процессов,,56
6,Автоматизация технологических процессов и производств в ...,43,76
7,Бурение нефтяных и газовых скважин,41,73
8,"Эксплуатация и обслуживание объектов добычи газа, ...",41,73
9,"Проектирование, сооружение и эксплуатация ...",41,73
10,Логистика и управление цепями поставок,45,81
11,Управление экономикой предприятий топливно-энергетического ...,45,69
12,Наноматериалы,,52
13,Промышленная теплоэнергетика,46,54
14,Электропривод и автоматика,42,65
15,Химическая технология переработки нефти и газа,46,55
16,Инженерная защита окружающей среды,44,49
17,Эксплуатация и обслуживание объектов добычи нефти,41,73
18,Управление инновациями в промышленности (машиностроение),43,58
19,Управление персоналом высокотехнологичных производств,,50
20,Технология разработки и сопровождения программного продукта,47,77
21,Системы автоматизированного проектирования и ...,44,60
22,Управление и эксплуатация объектов транспорта и хранения ...,41,73
23,Кадастр недвижимости,56,61
24,Экспертиза и контроль материалов промышленных объектов,,48
25,Машины и оборудование нефтяных и газовых промыслов,,44
26,Проектирование интерьера,51,75
27,"Производство и применение строительных материалов, изделий ...",43,51
28,Организация инвестиционно-строительной деятельности,43,51
29,Автоматизированные системы обработки информации и управления,47,77
30,Машины и аппараты химических производств,46,55
31,Безопасность технологических процессов и производств,40,49
32,Городской кадастр,45,61
33,"Стандартизация, метрология и управление качеством в ...",43,58
34,Проектирование городской среды,51,75
35,Теплогазоснабжение и вентиляция,43,51
36,"Приборы, методы контроля качества и диагностики",51,58
37,"Технологии производства, ремонта и эксплуатации в ...",,45
38,Прикладное программирование и компьютерные технологии,66,83
39,Архитектурное проектирование,45,75
40,Промышленное и гражданское строительство,43,51
41,Информационная безопасность компьютерных систем и сетей,47,77
42,Искусственный интеллект и программирование,47,77
43,Геофизические методы поисков и разведки полезных ископаемых,45,56
44,Магистральные трубопроводы и газонефтехранилища,44,67
45,Информационные системы предприятия,,45
46,Реклама и связи с общественностью,,54
47,Прикладная геология,45,56
48,Геофизические методы исследования скважин,45,56
49,Автомобильная техника в транспортных технологиях,45,49
50,Эксплуатация и обслуживание технологических объектов ...,41,73
51,Сервис транспортно-технологических машин и оборудования ...,,45
52,Системный анализ и управление социальными и экономическими ...,46,69
53,Интеллектуальные системы и средства автоматизированного ...,67,65
54,Управление процессами и проектирование в коммерческой ...,,46
55,Диджитал маркетинг,,46
56,Экономика сервисного предприятия и организация ...,50,72
57,Индустрия гостеприимства и туризма,47,72
58,Графический дизайн,,52
59,Строительство высотных и большепролетных зданий и сооружений,52,79
